1	4
2	4
3	5
4	1
5	4
6	2.5
7	5
8	4.5
9	3
10	5
11	4.5
12	4
13	2.5
14	1
15	5
16	5.5
17	3.5
18	3.5
19	4.5
20	3
21	4.5
22	2
23	3.5
24	1.5
25	4.5
26	3.5
27	3.5
28	3.5
29	4
30	5.5
31	3
32	3
33	4
34	3.5
35	6
36	1.5
37	4
38	3.5
39	2.5
40	4
41	2.5
42	3.5
43	4
44	2.5
45	4
46	5.5
47	3
48	2
49	1.5
50	1.5
51	2
52	2.5
53	3
54	5
55	4.5
56	2
57	6
58	2
59	4
60	1
61	3.5
62	3.5
63	5.5
64	3
65	3.5
66	3.5
67	4
68	1.5
69	4.5
70	2
71	4.5
72	3
73	3.5
74	5
75	5
76	1.5
77	4.5
78	2.5
79	3
80	5
81	5.5
82	5
83	4.5
84	4
85	4
86	2
87	4.5
88	4
89	4.5
90	4.5
91	4.5
92	1
93	2.5
94	1.5
95	5.5
96	1.5
97	1.5
98	3.5
99	3.5
100	2
101	3
102	3
103	3
104	2.5
105	3.5
106	3
107	5.5
108	2.5
109	3.5
110	5.5
111	6
112	4
113	5.5
114	5
115	5.5
116	3
117	1
118	3
119	4
120	2.5
121	1.5
122	4.5
123	4.5
124	1
125	2.5
126	1.5
127	3.5
128	2.5
129	3
130	4
131	6
132	1
133	3.5
134	4.5
135	3.5
136	2
137	3.5
138	2
139	2.5
140	3.5
141	5
142	4.5
143	4
144	3
145	4.5
146	3.5
147	3.5
148	4
149	1
150	2
151	5.5
152	3.5
153	4.5
154	3.5
155	2.5
156	3.5
157	3
158	3.5
159	3.5
160	3.5
161	1.5
162	3.5
163	6
164	2.5
165	4.5
166	3.5
167	4.5
168	5
169	3.5
170	3.5
171	5.5
172	4
173	3.5
174	3
175	1
176	3.5
177	2
178	5
179	4
180	2
181	3.5
182	5
183	4.5
184	3
185	3.5
186	5
187	3
188	2
189	1
190	1
191	3.5
192	1
193	4
194	3
195	4
196	3.5
197	3.5
198	3.5
199	2
200	3
201	3.5
202	4
203	3
204	3
205	3.5
206	5.5
207	2.5
208	4
209	2
210	3
211	4
212	3.5
213	3
214	1.5
215	4.5
216	2
217	3.5
218	3.5
219	4.5
220	4.5
221	2
222	2
223	4
224	5
225	4
226	4.5
227	2.5
228	3
229	2.5
230	2
231	4.5
232	3
233	2.5
234	3
235	2.5
236	2.5
237	5.5
238	4
239	3.5
240	5
241	3
242	2.5
243	5
244	3
245	2.5
246	2.5
247	2.5
248	2.5
249	2
250	1.5
251	2.5
252	4
253	5
254	1.5
255	2.5
256	3.5
257	4
258	3.5
259	4.5
260	3
261	4.5
262	1.5
263	4
264	5
265	2
266	2.5
267	4.5
268	3
269	3.5
270	4.5
271	5
272	3
273	3
274	2
275	4.5
276	3
277	4
278	3
279	6
280	5.5
281	3.5
282	5.5
283	4.5
284	3.5
285	1.5
286	4.5
287	2.5
288	5
289	3
290	5.5
291	2.5
292	2.5
293	4.5
294	1
295	2.5
